iter	MAE
0	26.48455196
1	26.25413642
2	26.06215225
3	25.76049387
4	25.59777426
5	25.42218981
6	25.15278359
7	24.97668513
8	24.76879146
9	24.60092438
10	24.41677853
11	24.22536619
12	24.10568595
13	23.97779427
14	23.80604387
15	23.63887681
16	23.46983531
17	23.40745474
18	23.18610831
19	22.9551574
20	22.82318449
21	22.73340433
22	22.5834605
23	22.41440394
24	22.17054805
25	22.00935475
26	21.88693525
27	21.81293354
28	21.64418899
29	21.48442674
30	21.35018423
31	21.21585772
32	21.06679548
33	20.98643314
34	20.7781643
35	20.77800103
36	20.6328423
37	20.57583874
38	20.39212326
39	20.2539854
40	20.1436765
41	19.96452201
42	19.8618227
43	19.72043315
44	19.53488603
45	19.32682621
46	19.16562108
47	19.07315425
48	18.98312059
49	18.93333267
50	18.80100704
51	18.63257149
52	18.4960091
53	18.32009896
54	18.20862933
55	18.06927847
56	17.88858568
57	17.78196957
58	17.67466557
59	17.53912526
60	17.40139649
61	17.31399198
62	17.154851
63	17.05414149
64	16.87366822
65	16.82018168
66	16.6988619
67	16.55964102
68	16.45043291
69	16.34270717
70	16.23024934
71	16.11012388
72	15.99950101
73	15.85128366
74	15.70166618
75	15.60829459
76	15.56004339
77	15.48253439
78	15.36625369
79	15.26079747
80	15.14082264
81	15.00396313
82	14.8826247
83	14.84698624
84	14.77820481
85	14.70820706
86	14.61491838
87	14.48043169
88	14.39070247
89	14.2750146
90	14.18438688
91	14.04122788
92	14.00982549
93	13.97873712
94	13.90345685
95	13.79657912
96	13.65021187
97	13.52745196
98	13.48834524
99	13.43107147
100	13.29209137
101	13.26389995
102	13.23599044
103	13.1758266
104	13.13861751
105	13.11173563
106	13.08512257
107	13.0157967
108	12.87619586
109	12.85395709
110	12.77476164
111	12.74035782
112	12.62724802
113	12.60562784
114	12.522815
115	12.43925391
116	12.37876855
117	12.30773626
118	12.16378274
119	12.06545851
120	12.0094725
121	11.95595302
122	11.91878245
123	11.83093591
124	11.78107796
125	11.75998399
126	11.71311444
127	11.69252949
128	11.62649747
129	11.57966133
130	11.56714837
131	11.47154458
132	11.45635099
133	11.36409047
134	11.26976718
135	11.22147183
136	11.11824816
137	11.0423353
138	11.00310522
139	10.94047002
140	10.87788682
141	10.8689243
142	10.82449364
143	10.77696634
144	10.69452496
145	10.64429457
146	10.56135883
147	10.47101433
148	10.4020503
149	10.33083594
150	10.24694504
