iter	Passed	Remaining
0	170	341098
1	198	198672
2	229	152800
3	251	125388
4	272	108638
5	284	94528
6	298	84964
7	316	78722
8	337	74766
9	358	71331
10	374	67738
11	389	64553
12	406	62098
13	424	60178
14	444	58765
15	463	57447
16	488	56989
17	496	54713
18	512	53478
19	527	52175
20	547	51604
21	563	50659
22	580	49916
23	596	49145
24	618	48893
25	647	49167
26	677	49509
27	689	48579
28	711	48380
29	727	47794
30	742	47188
31	758	46652
32	777	46363
33	798	46166
34	819	45982
35	825	45018
36	849	45051
37	859	44366
38	884	44460
39	902	44244
40	918	43882
41	933	43536
42	948	43182
43	965	42934
44	982	42691
45	1003	42626
46	1029	42770
47	1045	42504
48	1059	42180
49	1067	41617
50	1082	41366
51	1098	41134
52	1112	40855
53	1129	40720
54	1147	40582
55	1164	40427
56	1184	40370
57	1201	40222
58	1224	40298
59	1248	40362
60	1272	40443
61	1293	40437
62	1307	40213
63	1323	40030
64	1339	39889
65	1360	39871
66	1394	40238
67	1413	40157
68	1429	40006
69	1445	39866
70	1463	39760
71	1477	39562
72	1494	39457
73	1510	39315
74	1527	39199
75	1543	39083
76	1551	38749
77	1577	38878
78	1599	38897
79	1623	38975
80	1637	38805
81	1653	38674
82	1670	38571
83	1677	38256
84	1695	38201
85	1720	38285
86	1750	38491
87	1774	38564
88	1794	38529
89	1818	38598
90	1845	38710
91	1862	38627
92	1877	38505
93	1885	38231
94	1895	38011
95	1912	37939
96	1936	37996
97	1956	37963
98	1965	37732
99	1976	37550
100	1991	37451
101	1999	37204
102	2007	36973
103	2027	36953
104	2036	36759
105	2046	36565
106	2061	36462
107	2094	36690
108	2123	36831
109	2141	36798
110	2167	36889
111	2181	36768
112	2207	36862
113	2220	36734
114	2245	36801
115	2262	36748
116	2277	36649
117	2299	36672
118	2327	36791
119	2348	36798
120	2365	36738
121	2380	36639
122	2400	36630
123	2418	36591
124	2436	36551
125	2457	36548
126	2479	36564
127	2494	36487
128	2520	36563
129	2549	36669
130	2563	36572
131	2588	36637
132	2608	36612
133	2639	36761
134	2675	36955
135	2700	37009
136	2723	37035
137	2743	37021
138	2762	36988
139	2788	37041
140	2814	37107
141	2839	37149
142	2869	37269
143	2891	37268
144	2917	37317
145	2941	37354
146	2968	37413
147	2993	37459
148	3013	37433
149	3039	37484
150	3070	37598
151	3097	37655
152	3123	37709
153	3149	37755
154	3175	37794
155	3202	37850
156	3227	37884
157	3262	38034
158	3292	38120
159	3317	38147
160	3341	38168
161	3366	38199
162	3378	38074
163	3403	38106
164	3428	38128
165	3454	38162
166	3492	38339
167	3518	38369
168	3536	38314
169	3561	38342
170	3581	38302
171	3599	38256
172	3626	38296
173	3651	38323
174	3677	38346
175	3709	38441
176	3721	38329
177	3733	38218
178	3758	38233
179	3770	38123
180	3790	38090
181	3807	38031
182	3824	37968
183	3839	37891
184	3857	37843
185	3878	37829
186	3904	37858
187	3940	37975
188	3976	38104
189	3996	38068
190	4023	38108
191	4050	38143
192	4076	38164
193	4088	38062
194	4115	38093
195	4133	38044
196	4157	38046
197	4183	38071
198	4201	38024
199	4214	37931
200	4238	37933
201	4255	37878
202	4289	37970
203	4315	37989
204	4340	38005
205	4367	38033
206	4394	38066
207	4420	38084
208	4445	38091
209	4476	38156
210	4502	38171
211	4526	38174
212	4550	38175
213	4575	38186
214	4587	38083
215	4596	37962
216	4614	37911
217	4633	37877
218	4657	37875
219	4678	37856
220	4698	37822
221	4710	37725
222	4726	37665
223	4730	37505
224	4744	37427
225	4760	37371
226	4776	37305
227	4797	37282
228	4826	37326
229	4853	37349
230	4879	37366
231	4905	37384
232	4925	37352
233	4950	37362
234	4963	37277
235	4986	37268
236	5017	37325
237	5038	37300
238	5051	37216
239	5075	37223
240	5101	37238
241	5127	37249
242	5154	37270
243	5185	37317
244	5203	37270
245	5230	37297
246	5250	37261
247	5276	37275
248	5296	37243
249	5314	37204
250	5332	37155
251	5340	37043
252	5351	36955
253	5384	37010
254	5405	36987
255	5422	36940
256	5448	36949
257	5474	36960
258	5494	36935
259	5521	36950
260	5546	36955
261	5576	36993
262	5597	36969
263	5612	36908
264	5625	36831
265	5636	36742
266	5647	36654
267	5661	36586
268	5688	36602
269	5707	36571
270	5734	36583
271	5758	36585
272	5785	36600
273	5815	36633
274	5834	36596
275	5851	36550
276	5876	36550
277	5887	36468
278	5911	36463
279	5946	36529
280	5967	36502
281	5985	36465
282	6010	36464
283	6033	36456
284	6051	36415
285	6074	36402
286	6098	36398
287	6124	36406
288	6141	36360
289	6158	36315
290	6177	36277
291	6195	36236
292	6221	36243
293	6244	36233
294	6259	36176
295	6284	36178
296	6315	36213
297	6345	36242
298	6357	36169
299	6382	36165
300	6408	36171
301	6425	36126
302	6472	36250
303	6495	36236
304	6519	36233
305	6542	36219
306	6555	36153
307	6567	36078
308	6580	36011
309	6601	35990
310	6624	35977
311	6647	35964
312	6664	35922
313	6686	35905
314	6704	35861
315	6724	35835
316	6748	35831
317	6772	35824
318	6797	35818
319	6813	35773
320	6828	35716
321	6838	35638
322	6854	35586
323	6865	35515
324	6876	35440
325	6888	35370
326	6910	35357
327	6927	35315
328	6953	35316
329	6978	35317
330	7003	35313
331	7027	35308
332	7043	35261
333	7054	35190
334	7072	35153
335	7098	35154
336	7119	35132
